instance,metric,statistic,baseline_value,candidate_value,absolute_delta,relative_delta,classification,gate_status,reason
c104C10,vehicle_count,median,2.0,2.0,0.0,0.0,unchanged,pass,vehicle_count median is equal within tolerance 1e-09
c104C10,vehicle_count,worst,2.0,2.0,0.0,0.0,unchanged,pass,vehicle_count worst is equal within tolerance 1e-09
c104C10,vehicle_count,standard_deviation,0.0,0.0,0.0,0.0,unchanged,pass,vehicle_count standard_deviation is equal within tolerance 1e-09
c106C15,feasibility_rate,mean,1.0,1.0,0.0,0.0,unchanged,pass,feasibility_rate mean is equal within tolerance 1e-09
c106C15,iterations,best,1000.0,1000.0,0.0,0.0,unchanged,pass,iterations best is equal within tolerance 1e-09
c106C15,iterations,mean,1000.0,1000.0,0.0,0.0,unchanged,pass,iterations mean is equal within tolerance 1e-09
c106C15,iterations,median,1000.0,1000.0,0.0,0.0,unchanged,pass,iterations median is equal within tolerance 1e-09
c106C15,iterations,worst,1000.0,1000.0,0.0,0.0,unchanged,pass,iterations worst is equal within tolerance 1e-09
c106C15,iterations,standard_deviation,0.0,0.0,0.0,0.0,unchanged,pass,iterations standard_deviation is equal within tolerance 1e-09
c106C15,runtime_seconds,best,1.220062375003181,1.1768636249980773,-0.04319875000510365,-0.03540700122400793,improvement,pass,candidate improved because lower runtime_seconds best is better
c106C15,runtime_seconds,mean,1.3003386806691803,1.2419122916665704,-0.05842638900260999,-0.0449316703957023,improvement,pass,candidate improved because lower runtime_seconds mean is better
c106C15,runtime_seconds,median,1.2804575420013862,1.236362374998862,-0.04409516700252425,-0.034437039539477764,improvement,pass,candidate improved because lower runtime_seconds median is better
c106C15,runtime_seconds,worst,1.4004961250029737,1.312510875002772,-0.08798525000020163,-0.06282434376604563,improvement,pass,candidate improved because lower runtime_seconds worst is better
c106C15,runtime_seconds,standard_deviation,0.07499124078092043,0.055516635883447435,-0.01947460489747299,-0.2596917279228136,improvement,pass,candidate improved because lower runtime_seconds standard_deviation is better
c106C15,total_charged_energy,best,126.22178535625447,126.22178535625447,0.0,0.0,unchanged,pass,total_charged_energy best is equal within tolerance 1e-09
c106C15,total_charged_energy,mean,126.22178535625447,126.22178535625447,0.0,0.0,unchanged,pass,total_charged_energy mean is equal within tolerance 1e-09
c106C15,total_charged_energy,median,126.22178535625447,126.22178535625447,0.0,0.0,unchanged,pass,total_charged_energy median is equal within tolerance 1e-09
c106C15,total_charged_energy,worst,126.22178535625447,126.22178535625447,0.0,0.0,unchanged,pass,total_charged_energy worst is equal within tolerance 1e-09
c106C15,total_charged_energy,standard_deviation,0.0,0.0,0.0,0.0,unchanged,pass,total_charged_energy standard_deviation is equal within tolerance 1e-09
c106C15,total_charging_time,best,437.989595186203,437.989595186203,0.0,0.0,unchanged,pass,total_charging_time best is equal within tolerance 1e-09
c106C15,total_charging_time,mean,437.98959518620296,437.98959518620296,0.0,0.0,unchanged,pass,total_charging_time mean is equal within tolerance 1e-09
c106C15,total_charging_time,median,437.989595186203,437.989595186203,0.0,0.0,unchanged,pass,total_charging_time median is equal within tolerance 1e-09
c106C15,total_charging_time,worst,437.989595186203,437.989595186203,0.0,0.0,unchanged,pass,total_charging_time worst is equal within tolerance 1e-09
c106C15,total_charging_time,standard_deviation,0.0,0.0,0.0,0.0,unchanged,pass,total_charging_time standard_deviation is equal within tolerance 1e-09
c106C15,total_distance,best,275.1331688731623,275.1331688731623,0.0,0.0,unchanged,pass,total_distance best is equal within tolerance 1e-09
c106C15,total_distance,mean,275.1331688731623,275.1331688731623,0.0,0.0,unchanged,pass,total_distance mean is equal within tolerance 1e-09
c106C15,total_distance,median,275.1331688731623,275.1331688731623,0.0,0.0,unchanged,pass,total_distance median is equal within tolerance 1e-09
c106C15,total_distance,worst,275.1331688731623,275.1331688731623,0.0,0.0,unchanged,pass,total_distance worst is equal within tolerance 1e-09
c106C15,total_distance,standard_deviation,0.0,0.0,0.0,0.0,unchanged,pass,total_distance standard_deviation is equal within tolerance 1e-09
c106C15,total_energy,best,275.1331688731623,275.1331688731623,0.0,0.0,unchanged,pass,total_energy best is equal within tolerance 1e-09
c106C15,total_energy,mean,275.1331688731623,275.1331688731623,0.0,0.0,unchanged,pass,total_energy mean is equal within tolerance 1e-09
c106C15,total_energy,median,275.1331688731623,275.1331688731623,0.0,0.0,unchanged,pass,total_energy median is equal within tolerance 1e-09
