run_label,instance,seed,metric,value
stage03.2_cache_incremental_attempt03,c104C10,2015,cache_lookups,40100
stage03.2_cache_incremental_attempt03,c104C10,2015,cache_misses,1679
stage03.2_cache_incremental_attempt03,c104C10,2015,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,c104C10,2015,cache_stores,1679
stage03.2_cache_incremental_attempt03,c104C10,2015,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,c104C10,2015,incremental_propagations,36
stage03.2_cache_incremental_attempt03,c104C10,2016,cache_evictions,0
stage03.2_cache_incremental_attempt03,c104C10,2016,cache_hits,37985
stage03.2_cache_incremental_attempt03,c104C10,2016,cache_lookups,39680
stage03.2_cache_incremental_attempt03,c104C10,2016,cache_misses,1695
stage03.2_cache_incremental_attempt03,c104C10,2016,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,c104C10,2016,cache_stores,1695
stage03.2_cache_incremental_attempt03,c104C10,2016,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,c104C10,2016,incremental_propagations,36
stage03.2_cache_incremental_attempt03,c106C15,2014,cache_evictions,0
stage03.2_cache_incremental_attempt03,c106C15,2014,cache_hits,55132
stage03.2_cache_incremental_attempt03,c106C15,2014,cache_lookups,56607
stage03.2_cache_incremental_attempt03,c106C15,2014,cache_misses,1475
stage03.2_cache_incremental_attempt03,c106C15,2014,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,c106C15,2014,cache_stores,1475
stage03.2_cache_incremental_attempt03,c106C15,2014,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,c106C15,2014,incremental_propagations,44
stage03.2_cache_incremental_attempt03,c106C15,2015,cache_evictions,0
stage03.2_cache_incremental_attempt03,c106C15,2015,cache_hits,52212
stage03.2_cache_incremental_attempt03,c106C15,2015,cache_lookups,53488
stage03.2_cache_incremental_attempt03,c106C15,2015,cache_misses,1276
stage03.2_cache_incremental_attempt03,c106C15,2015,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,c106C15,2015,cache_stores,1276
