"source_path","source_sha256","source_bytes","disposition","target_path","target_sha256","reason"
"tests/test_stage032_cache_incremental.py","60975de5313982bf04787b5b28521ea398a0c06e4db43e772d23104d5c1cc542","10653","migrated_modified_publication","tests/test_stage032_cache_incremental.py","981b2267f53d14fabdede3b00749b793b3d216992940266f5a7bd9481575d263","Retained and updated for repository separation or publication packaging"
"tests/test_stage033_exact_deadline.py","2f6fa04303f48b3800ecb586d3cc670afbaf780930224ec4238dea3f63a680ba","20239","migrated_unchanged","tests/test_stage033_exact_deadline.py","2f6fa04303f48b3800ecb586d3cc670afbaf780930224ec4238dea3f63a680ba","Byte-identical scientific source retained"
"tests/test_stage034_control_parallel.py","6ea55302611e85ae4ddb5c191c2fa113e8331dd14c0bfdeafa765c671c64046b","18411","migrated_unchanged","tests/test_stage034_control_parallel.py","6ea55302611e85ae4ddb5c191c2fa113e8331dd14c0bfdeafa765c671c64046b","Byte-identical scientific source retained"
"tests/test_stage03_artifact_migration.py","215ee8f11c607a27e8dcbdfd458d5d1e4493842861ef576c3d119447c20e4efd","4432","migrated_unchanged","tests/test_stage03_artifact_migration.py","215ee8f11c607a27e8dcbdfd458d5d1e4493842861ef576c3d119447c20e4efd","Byte-identical scientific source retained"
"tests/test_stage03_measurement.py","90846845b389c6d03331f36423bdaba56f69298480396969cd17bc3f318f92da","8228","migrated_unchanged","tests/test_stage03_measurement.py","90846845b389c6d03331f36423bdaba56f69298480396969cd17bc3f318f92da","Byte-identical scientific source retained"
"tests/test_stage03_runner.py","2ed0231ee89e1762a862de7035f7e88001350a44f582f60bb8ecbf4eac8d39db","4329","migrated_unchanged","tests/test_stage03_runner.py","2ed0231ee89e1762a862de7035f7e88001350a44f582f60bb8ecbf4eac8d39db","Byte-identical scientific source retained"
"tests/test_stage04.py","46bd355bb80876dc6a1cb11ee9c02610456d30f1e8effaf8094b133b899617c6","29437","migrated_modified_publication","tests/test_stage04.py","89bf58f69ceab11b400ef58fc8a85a4259ae6212fd84df9f242ee41221740b30","Retained and updated for repository separation or publication packaging"
"tests/test_stage051.py","1d54b858cf2482a83ee63b68fe2538537d4d917629e4847b6d1101fbd907a07b","13011","migrated_unchanged","tests/test_stage051.py","1d54b858cf2482a83ee63b68fe2538537d4d917629e4847b6d1101fbd907a07b","Byte-identical scientific source retained"
"tests/test_stage052.py","fd150d2fb6ecc445774da5d8559c0a09f56c56aea5774c1ad6206d13b3cf34e9","172668","migrated_modified_publication","tests/test_stage052.py","15a4a761d67013806819108ed9db06de8e4b675914575b4ad3124a0583470add","Retained and updated for repository separation or publication packaging"
"tests/test_stage052_accelerator.py","8788bee0987c77c6ae3d756e2803bb8ee8ff36ef19b5d572e9b9dcf6f51da6ce","16086","migrated_modified_publication","tests/test_stage052_accelerator.py","9be01e3875c2372ab31e31714bb42847273cd4df1c16952385c1203627d8c34f","Retained and updated for repository separation or publication packaging"
