acceptance_trajectory_hash,axis,backend,candidate_reconciliation_valid,candidate_work_hash,completed_calls,effective_iterations,exact_reconciliation_valid,inherited_initial_solution_valid,instance,objective_key,objective_not_worse,paired_semantics_valid,parallel_ordering_valid,route_result_hash,seed,started_calls,termination_reason,unchanged_exact_calls,valid
41bb083b8bc14d15153972e0d34e4fcb645ecea0342d8e77ca2e040bfc7d8e6c,serial_fixed_exact_calls,cpu_batch,True,b761f443d601ae080a832ae6e297ed0a212776f2d54b6ecb30e46e310a94cfe6,25,55,True,True,r101_21,"[20,1760.928139464,429.112245686,23]",True,True,True,48776a7ae7f34da3d85fc67db7c400e7be5ec69af87eb446645675e0a8f9e7aa,2015,25,candidate_control_exhausted,0,True
41bb083b8bc14d15153972e0d34e4fcb645ecea0342d8e77ca2e040bfc7d8e6c,parallel_fixed_exact_calls,cpu_batch,True,b761f443d601ae080a832ae6e297ed0a212776f2d54b6ecb30e46e310a94cfe6,25,55,True,True,r101_21,"[20,1760.928139464,429.112245686,23]",True,True,True,48776a7ae7f34da3d85fc67db7c400e7be5ec69af87eb446645675e0a8f9e7aa,2015,25,candidate_control_exhausted,0,True
3e558b6412a81045a19928d8a7bca119eb35c058b5e7e36e665e3e0679f573d5,serial_wall_clock,cpu_batch,True,b932fe401a77587bab9d27008482d997e39390ade2ff22a2ed25b2ab6a1ea735,33,124,True,True,r101_21,"[20,1760.928139464,429.112245686,23]",True,True,True,7d2d15509b13814529d5eea0a0c44e8256515e08ec81fa6c2d1c4833978a1d79,2015,33,wall_clock_deadline,0,True
3e558b6412a81045a19928d8a7bca119eb35c058b5e7e36e665e3e0679f573d5,parallel_wall_clock,cpu_batch,True,b932fe401a77587bab9d27008482d997e39390ade2ff22a2ed25b2ab6a1ea735,33,124,True,True,r101_21,"[20,1760.928139464,429.112245686,23]",True,True,True,7d2d15509b13814529d5eea0a0c44e8256515e08ec81fa6c2d1c4833978a1d79,2015,33,wall_clock_deadline,0,True
b67ca36025b0f70b4c66c00f5597f6633438a0d95804699dadb47e411b438320,serial_fixed_exact_calls,cpu_batch,True,7110417bb235bd69ac0da752be26b0ecc890e552ad4e010b4aae13922c65cc9b,35,99,True,True,r101_21,"[20,1717.941592949,409.2004968,26]",True,True,True,5f05185bd120b49eb6da6bb21daa1815668e61b1c8f49edd9b0f67b3b6080075,2016,35,candidate_control_exhausted,0,True
b67ca36025b0f70b4c66c00f5597f6633438a0d95804699dadb47e411b438320,parallel_fixed_exact_calls,cpu_batch,True,7110417bb235bd69ac0da752be26b0ecc890e552ad4e010b4aae13922c65cc9b,35,99,True,True,r101_21,"[20,1717.941592949,409.2004968,26]",True,True,True,5f05185bd120b49eb6da6bb21daa1815668e61b1c8f49edd9b0f67b3b6080075,2016,35,candidate_control_exhausted,0,True
8dc7c09bdc27dcecbc9c655144814193ae678f9477fabfb001aa220802eb135e,serial_wall_clock,cpu_batch,True,ad571d19c4c8003c34b8cbc56fdf87dd18b8624470290fdbb72f26f016ff65d1,36,133,True,True,r101_21,"[20,1717.941592949,409.2004968,26]",True,True,True,d566b94254020d43836d189fc10fd726811d9c4ecfa72a1e102189de8999a586,2016,36,wall_clock_deadline,0,True
8dc7c09bdc27dcecbc9c655144814193ae678f9477fabfb001aa220802eb135e,parallel_wall_clock,cpu_batch,True,ad571d19c4c8003c34b8cbc56fdf87dd18b8624470290fdbb72f26f016ff65d1,36,133,True,True,r101_21,"[20,1717.941592949,409.2004968,26]",True,True,True,d566b94254020d43836d189fc10fd726811d9c4ecfa72a1e102189de8999a586,2016,36,wall_clock_deadline,0,True
308d64dd90f4804dc1ee575eead6535bb8359e3a35de21fb116d4727427d9362,serial_fixed_exact_calls,cpu_batch,True,99aaf61ab82b6bf9df1042acedd0fbb4990451fea3ff48464a2ad15644e68ffa,27,126,True,True,r103C10,"[2,207.051154172,49.247992351,3]",True,True,True,bfc8a2d39f1c6e973fe49a5db86f7288cd7b6b573b5e60513adb821b758ed7e5,2014,27,candidate_control_exhausted,0,True
308d64dd90f4804dc1ee575eead6535bb8359e3a35de21fb116d4727427d9362,parallel_fixed_exact_calls,cpu_batch,True,99aaf61ab82b6bf9df1042acedd0fbb4990451fea3ff48464a2ad15644e68ffa,27,126,True,True,r103C10,"[2,207.051154172,49.247992351,3]",True,True,True,bfc8a2d39f1c6e973fe49a5db86f7288cd7b6b573b5e60513adb821b758ed7e5,2014,27,candidate_control_exhausted,0,True
