instance,seed,axis,backend,valid,objective_key,vehicle_count,runtime_seconds,iterations,effective_iterations,started_calls,completed_calls,interrupted_calls,infeasible_calls,exact_call_budget,budget_exhaustions,termination_reason,trace_reconciliation_status,provenance_valid,route_references_valid,candidate_rollback_valid,cache_lifecycle_valid,deadline_context_valid
r105C5,2015,fixed_exact_calls,cpu_batch,True,"[2,156.082069464,44.159902941,2]",2,0.28880095799831906,1000,1000,22,22,0,8,100,0,iteration_limit,pass,True,True,True,True,True
r105C5,2015,wall_clock,cpu_batch,True,"[2,156.082069464,44.159902941,2]",2,0.2580408329995407,1000,1000,22,22,0,8,,0,iteration_limit,pass,True,True,True,True,True
r105C5,2016,fixed_exact_calls,cpu_batch,True,"[2,156.082069464,44.159902941,2]",2,0.2656800000004296,1000,1000,22,22,0,8,100,0,iteration_limit,pass,True,True,True,True,True
r105C5,2016,wall_clock,cpu_batch,True,"[2,156.082069464,44.159902941,2]",2,0.30396370900052716,1000,1000,22,22,0,8,,0,iteration_limit,pass,True,True,True,True,True
rc101_21,2014,fixed_exact_calls,cpu_batch,True,"[24,2263.29483787,386.325141074,21]",24,1.0841191660001641,4,3,100,100,0,34,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
rc101_21,2014,wall_clock,cpu_batch,True,"[18,1863.274097528,312.76300404,20]",18,30.000492541999847,268,268,2133,2132,1,773,,0,wall_clock_deadline,pass,True,True,True,True,True
rc101_21,2015,fixed_exact_calls,cpu_batch,True,"[22,2102.873996596,351.181227299,19]",22,3.237889250001899,7,6,100,100,0,30,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
rc101_21,2015,wall_clock,cpu_batch,True,"[17,1844.857320823,298.181064881,19]",17,30.000410500000726,283,283,1985,1984,1,637,,0,wall_clock_deadline,pass,True,True,True,True,True
rc101_21,2016,fixed_exact_calls,cpu_batch,True,"[24,2263.29483787,386.325141074,21]",24,1.0838427910020982,4,3,100,100,0,32,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
rc101_21,2016,wall_clock,cpu_batch,True,"[18,1883.181435832,333.077992362,20]",18,30.000458708000224,232,232,2039,2039,0,657,,0,wall_clock_deadline,pass,True,True,True,True,True
rc102C10,2014,fixed_exact_calls,cpu_batch,True,"[4,423.510181924,69.382613231,3]",4,0.22419716700096615,180,179,100,100,0,43,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
rc102C10,2014,wall_clock,cpu_batch,True,"[4,423.510181924,69.382613231,3]",4,1.2129554999992251,1000,1000,136,136,0,53,,0,iteration_limit,pass,True,True,True,True,True
rc102C10,2015,fixed_exact_calls,cpu_batch,True,"[4,423.510181924,69.382613231,3]",4,0.24566062499798136,209,208,100,100,0,33,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
rc102C10,2015,wall_clock,cpu_batch,True,"[4,423.510181924,69.382613231,3]",4,1.2148372500014375,1000,1000,123,123,0,44,,0,iteration_limit,pass,True,True,True,True,True
rc102C10,2016,fixed_exact_calls,cpu_batch,True,"[4,423.510181924,69.382613231,3]",4,0.1336046249998617,79,78,100,100,0,37,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
rc102C10,2016,wall_clock,cpu_batch,True,"[4,423.510181924,69.382613231,3]",4,1.2214890830000513,1000,1000,138,138,0,54,,0,iteration_limit,pass,True,True,True,True,True
rc103C15,2014,fixed_exact_calls,cpu_batch,True,"[5,552.600994973,109.284021033,6]",5,0.055242999998881714,1,0,100,100,0,40,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
rc103C15,2014,wall_clock,cpu_batch,True,"[4,397.669856913,67.687714099,4]",4,4.107245749997674,1000,1000,867,867,0,385,,0,iteration_limit,pass,True,True,True,True,True
rc103C15,2015,fixed_exact_calls,cpu_batch,True,"[5,552.600994973,109.284021033,6]",5,0.05530916599673219,1,0,100,100,0,40,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
rc103C15,2015,wall_clock,cpu_batch,True,"[4,397.669856913,67.687714099,4]",4,3.791083542000706,1000,1000,828,828,0,357,,0,iteration_limit,pass,True,True,True,True,True
rc103C15,2016,fixed_exact_calls,cpu_batch,True,"[5,552.600994973,109.284021033,6]",5,0.05536362500060932,1,0,100,100,0,40,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
rc103C15,2016,wall_clock,cpu_batch,True,"[4,397.669856913,67.687714099,4]",4,4.066692417000013,1000,1000,883,883,0,382,,0,iteration_limit,pass,True,True,True,True,True
rc105C5,2014,fixed_exact_calls,cpu_batch,True,"[2,241.296391877,59.789763586,3]",2,0.24800600000162376,1000,1000,22,22,0,4,100,0,iteration_limit,pass,True,True,True,True,True
rc105C5,2014,wall_clock,cpu_batch,True,"[2,241.296391877,59.789763586,3]",2,0.24059937499987427,1000,1000,22,22,0,4,,0,iteration_limit,pass,True,True,True,True,True
rc105C5,2015,fixed_exact_calls,cpu_batch,True,"[2,241.296391877,59.789763586,3]",2,0.24119495899867616,1000,1000,22,22,0,4,100,0,iteration_limit,pass,True,True,True,True,True
rc105C5,2015,wall_clock,cpu_batch,True,"[2,241.296391877,59.789763586,3]",2,0.29457258399997954,1000,1000,22,22,0,4,,0,iteration_limit,pass,True,True,True,True,True
rc105C5,2016,fixed_exact_calls,cpu_batch,True,"[2,241.296391877,59.789763586,3]",2,0.2710404169993126,1000,1000,22,22,0,4,100,0,iteration_limit,pass,True,True,True,True,True
rc105C5,2016,wall_clock,cpu_batch,True,"[2,241.296391877,59.789763586,3]",2,0.2412884999976086,1000,1000,22,22,0,4,,0,iteration_limit,pass,True,True,True,True,True
