axis,count,instance,reason,seed,status
parallel_wall_clock,9,r105C5,forward_time_window_prefilter,2015,negative_cache_hit
parallel_wall_clock,502,r105C5,,2015,pass
parallel_wall_clock,265,r105C5,time_window_prefilter,2015,prefilter_rejected_aggregate
parallel_wall_clock,25,r105C5,forward_time_window_prefilter,2015,rejected
serial_fixed_exact_calls,9,r105C5,forward_time_window_prefilter,2016,negative_cache_hit
serial_fixed_exact_calls,144,r105C5,,2016,pass
serial_fixed_exact_calls,40,r105C5,time_window_prefilter,2016,prefilter_rejected_aggregate
serial_fixed_exact_calls,25,r105C5,forward_time_window_prefilter,2016,rejected
parallel_fixed_exact_calls,9,r105C5,forward_time_window_prefilter,2016,negative_cache_hit
parallel_fixed_exact_calls,144,r105C5,,2016,pass
parallel_fixed_exact_calls,40,r105C5,time_window_prefilter,2016,prefilter_rejected_aggregate
parallel_fixed_exact_calls,25,r105C5,forward_time_window_prefilter,2016,rejected
serial_wall_clock,9,r105C5,forward_time_window_prefilter,2016,negative_cache_hit
serial_wall_clock,450,r105C5,,2016,pass
serial_wall_clock,235,r105C5,time_window_prefilter,2016,prefilter_rejected_aggregate
serial_wall_clock,25,r105C5,forward_time_window_prefilter,2016,rejected
parallel_wall_clock,9,r105C5,forward_time_window_prefilter,2016,negative_cache_hit
parallel_wall_clock,450,r105C5,,2016,pass
parallel_wall_clock,235,r105C5,time_window_prefilter,2016,prefilter_rejected_aggregate
parallel_wall_clock,25,r105C5,forward_time_window_prefilter,2016,rejected
serial_fixed_exact_calls,776,rc101_21,forward_time_window_prefilter,2014,negative_cache_hit
serial_fixed_exact_calls,30260,rc101_21,,2014,pass
serial_fixed_exact_calls,9516,rc101_21,capacity_prefilter,2014,prefilter_rejected_aggregate
serial_fixed_exact_calls,10884,rc101_21,time_window_prefilter,2014,prefilter_rejected_aggregate
serial_fixed_exact_calls,2164,rc101_21,forward_time_window_prefilter,2014,rejected
parallel_fixed_exact_calls,776,rc101_21,forward_time_window_prefilter,2014,negative_cache_hit
parallel_fixed_exact_calls,30260,rc101_21,,2014,pass
parallel_fixed_exact_calls,9516,rc101_21,capacity_prefilter,2014,prefilter_rejected_aggregate
parallel_fixed_exact_calls,10884,rc101_21,time_window_prefilter,2014,prefilter_rejected_aggregate
parallel_fixed_exact_calls,2164,rc101_21,forward_time_window_prefilter,2014,rejected
serial_wall_clock,776,rc101_21,forward_time_window_prefilter,2014,negative_cache_hit
serial_wall_clock,30350,rc101_21,,2014,pass
serial_wall_clock,11895,rc101_21,capacity_prefilter,2014,prefilter_rejected_aggregate
serial_wall_clock,13605,rc101_21,time_window_prefilter,2014,prefilter_rejected_aggregate
serial_wall_clock,2164,rc101_21,forward_time_window_prefilter,2014,rejected
parallel_wall_clock,776,rc101_21,forward_time_window_prefilter,2014,negative_cache_hit
parallel_wall_clock,30350,rc101_21,,2014,pass
parallel_wall_clock,11895,rc101_21,capacity_prefilter,2014,prefilter_rejected_aggregate
parallel_wall_clock,13605,rc101_21,time_window_prefilter,2014,prefilter_rejected_aggregate
parallel_wall_clock,2164,rc101_21,forward_time_window_prefilter,2014,rejected
serial_fixed_exact_calls,1154,rc101_21,forward_time_window_prefilter,2015,negative_cache_hit
serial_fixed_exact_calls,27629,rc101_21,,2015,pass
serial_fixed_exact_calls,13515,rc101_21,capacity_prefilter,2015,prefilter_rejected_aggregate
serial_fixed_exact_calls,10485,rc101_21,time_window_prefilter,2015,prefilter_rejected_aggregate
serial_fixed_exact_calls,1851,rc101_21,forward_time_window_prefilter,2015,rejected
parallel_fixed_exact_calls,1154,rc101_21,forward_time_window_prefilter,2015,negative_cache_hit
parallel_fixed_exact_calls,27629,rc101_21,,2015,pass
parallel_fixed_exact_calls,13515,rc101_21,capacity_prefilter,2015,prefilter_rejected_aggregate
parallel_fixed_exact_calls,10485,rc101_21,time_window_prefilter,2015,prefilter_rejected_aggregate
parallel_fixed_exact_calls,1851,rc101_21,forward_time_window_prefilter,2015,rejected
serial_wall_clock,1154,rc101_21,forward_time_window_prefilter,2015,negative_cache_hit
serial_wall_clock,27667,rc101_21,,2015,pass
serial_wall_clock,15317,rc101_21,capacity_prefilter,2015,prefilter_rejected_aggregate
serial_wall_clock,11883,rc101_21,time_window_prefilter,2015,prefilter_rejected_aggregate
serial_wall_clock,1851,rc101_21,forward_time_window_prefilter,2015,rejected
parallel_wall_clock,1154,rc101_21,forward_time_window_prefilter,2015,negative_cache_hit
parallel_wall_clock,27667,rc101_21,,2015,pass
parallel_wall_clock,15317,rc101_21,capacity_prefilter,2015,prefilter_rejected_aggregate
parallel_wall_clock,11883,rc101_21,time_window_prefilter,2015,prefilter_rejected_aggregate
parallel_wall_clock,1851,rc101_21,forward_time_window_prefilter,2015,rejected
serial_fixed_exact_calls,952,rc101_21,forward_time_window_prefilter,2016,negative_cache_hit
serial_fixed_exact_calls,29615,rc101_21,,2016,pass
