axis,instance,not_worse,objective_key,seed,stage033_wall_clock_objective
parallel_wall_clock,rc101_21,True,"[18,1863.274097528,312.76300404,20]",2014,"[18,1863.274097528,312.76300404,20]"
serial_fixed_exact_calls,rc101_21,True,"[17,1844.857320823,298.181064881,19]",2015,"[17,1844.857320823,298.181064881,19]"
parallel_fixed_exact_calls,rc101_21,True,"[17,1844.857320823,298.181064881,19]",2015,"[17,1844.857320823,298.181064881,19]"
serial_wall_clock,rc101_21,True,"[17,1844.857320823,298.181064881,19]",2015,"[17,1844.857320823,298.181064881,19]"
parallel_wall_clock,rc101_21,True,"[17,1844.857320823,298.181064881,19]",2015,"[17,1844.857320823,298.181064881,19]"
serial_fixed_exact_calls,rc101_21,True,"[18,1881.438521144,332.415684781,20]",2016,"[18,1883.181435832,333.077992362,20]"
parallel_fixed_exact_calls,rc101_21,True,"[18,1881.438521144,332.415684781,20]",2016,"[18,1883.181435832,333.077992362,20]"
serial_wall_clock,rc101_21,True,"[18,1878.939296129,303.133100223,19]",2016,"[18,1883.181435832,333.077992362,20]"
parallel_wall_clock,rc101_21,True,"[18,1881.438521144,332.415684781,20]",2016,"[18,1883.181435832,333.077992362,20]"
serial_fixed_exact_calls,rc102C10,True,"[4,423.510181924,69.382613231,3]",2014,"[4,423.510181924,69.382613231,3]"
parallel_fixed_exact_calls,rc102C10,True,"[4,423.510181924,69.382613231,3]",2014,"[4,423.510181924,69.382613231,3]"
serial_wall_clock,rc102C10,True,"[4,423.510181924,69.382613231,3]",2014,"[4,423.510181924,69.382613231,3]"
parallel_wall_clock,rc102C10,True,"[4,423.510181924,69.382613231,3]",2014,"[4,423.510181924,69.382613231,3]"
serial_fixed_exact_calls,rc102C10,True,"[4,423.510181924,69.382613231,3]",2015,"[4,423.510181924,69.382613231,3]"
parallel_fixed_exact_calls,rc102C10,True,"[4,423.510181924,69.382613231,3]",2015,"[4,423.510181924,69.382613231,3]"
serial_wall_clock,rc102C10,True,"[4,423.510181924,69.382613231,3]",2015,"[4,423.510181924,69.382613231,3]"
parallel_wall_clock,rc102C10,True,"[4,423.510181924,69.382613231,3]",2015,"[4,423.510181924,69.382613231,3]"
serial_fixed_exact_calls,rc102C10,True,"[4,423.510181924,69.382613231,3]",2016,"[4,423.510181924,69.382613231,3]"
parallel_fixed_exact_calls,rc102C10,True,"[4,423.510181924,69.382613231,3]",2016,"[4,423.510181924,69.382613231,3]"
serial_wall_clock,rc102C10,True,"[4,423.510181924,69.382613231,3]",2016,"[4,423.510181924,69.382613231,3]"
parallel_wall_clock,rc102C10,True,"[4,423.510181924,69.382613231,3]",2016,"[4,423.510181924,69.382613231,3]"
serial_fixed_exact_calls,rc103C15,True,"[4,397.669856913,67.687714099,4]",2014,"[4,397.669856913,67.687714099,4]"
parallel_fixed_exact_calls,rc103C15,True,"[4,397.669856913,67.687714099,4]",2014,"[4,397.669856913,67.687714099,4]"
serial_wall_clock,rc103C15,True,"[4,397.669856913,67.687714099,4]",2014,"[4,397.669856913,67.687714099,4]"
parallel_wall_clock,rc103C15,True,"[4,397.669856913,67.687714099,4]",2014,"[4,397.669856913,67.687714099,4]"
serial_fixed_exact_calls,rc103C15,True,"[4,397.669856913,67.687714099,4]",2015,"[4,397.669856913,67.687714099,4]"
parallel_fixed_exact_calls,rc103C15,True,"[4,397.669856913,67.687714099,4]",2015,"[4,397.669856913,67.687714099,4]"
serial_wall_clock,rc103C15,True,"[4,397.669856913,67.687714099,4]",2015,"[4,397.669856913,67.687714099,4]"
parallel_wall_clock,rc103C15,True,"[4,397.669856913,67.687714099,4]",2015,"[4,397.669856913,67.687714099,4]"
serial_fixed_exact_calls,rc103C15,True,"[4,397.669856913,67.687714099,4]",2016,"[4,397.669856913,67.687714099,4]"
parallel_fixed_exact_calls,rc103C15,True,"[4,397.669856913,67.687714099,4]",2016,"[4,397.669856913,67.687714099,4]"
serial_wall_clock,rc103C15,True,"[4,397.669856913,67.687714099,4]",2016,"[4,397.669856913,67.687714099,4]"
parallel_wall_clock,rc103C15,True,"[4,397.669856913,67.687714099,4]",2016,"[4,397.669856913,67.687714099,4]"
