axis,backend,batch_launches,batch_size,budget_exhaustions,checkpoint_count,completed_calls,exact_call_budget,exact_calls,instance,interrupted_calls,label_management_seconds,mode,packing_seconds,schema_version,seed,started_calls,total_seconds,transition_batches,transition_seconds,transitions,unpacking_seconds,watchdog_seconds,work_batches
parallel_wall_clock,cpu_batch,2,128,0,100,2,,2,r105C5,0,0.0004761701129609719,wall_clock,2.2790991351939738e-05,stage033-exact-deadline-v1,2016,2,0.0005254170100670308,44,4.9246897106058896e-05,146,4.6375003876164556e-05,,2
serial_fixed_exact_calls,cpu_batch,15,128,0,9863,32,100,32,rc101_21,0,0.29063011569087394,exact_call_budget,0.0008054579811869189,stage033-exact-deadline-v1,2014,32,0.33821108400297817,4057,0.04758096831210423,167440,0.001883291028207168,120.0,15
parallel_fixed_exact_calls,cpu_batch,18,128,0,11414,32,100,32,rc101_21,0,0.34159086403087713,exact_call_budget,0.0009735400381032377,stage033-exact-deadline-v1,2014,32,0.39571333199273795,4428,0.05412246796186082,167440,0.0018807900050887838,120.0,18
serial_wall_clock,cpu_batch,17,128,0,11241,34,,34,rc101_21,0,0.313134811076452,wall_clock,0.0007066659891279414,stage033-exact-deadline-v1,2014,34,0.36382433300605044,4567,0.05068952192959841,178226,0.0016492070135427639,,17
parallel_wall_clock,cpu_batch,20,128,0,12792,34,,34,rc101_21,0,0.347468295643921,wall_clock,0.0009952919936040416,stage033-exact-deadline-v1,2014,34,0.4019595380232204,4938,0.054491242379299365,178226,0.0020890399609925225,,20
serial_fixed_exact_calls,cpu_batch,19,128,0,11766,35,100,35,rc101_21,0,0.32165570386860054,exact_call_budget,0.0007258330006152391,stage033-exact-deadline-v1,2015,35,0.3755347090191208,5194,0.05387900515052024,191833,0.0016758749989094213,120.0,19
parallel_fixed_exact_calls,cpu_batch,22,128,0,13538,35,100,35,rc101_21,0,0.35307734065281693,exact_call_budget,0.0011330840352457017,stage033-exact-deadline-v1,2015,35,0.4108074989489978,5762,0.05773015829618089,191833,0.002352461000555195,120.0,22
serial_wall_clock,cpu_batch,21,128,0,13232,37,,37,rc101_21,0,0.3629210593935568,wall_clock,0.0008287519885925576,stage033-exact-deadline-v1,2015,37,0.42515666598046664,5830,0.06223560658690985,205271,0.0018285799742443487,,21
parallel_wall_clock,cpu_batch,24,128,0,15004,37,,37,rc101_21,0,0.37115675599488895,wall_clock,0.0011654150148387998,stage033-exact-deadline-v1,2015,37,0.4315735829877667,6398,0.06041682699287776,205271,0.002037371974438429,,24
serial_fixed_exact_calls,cpu_batch,16,128,0,11511,33,100,33,rc101_21,0,0.34443827012728434,exact_call_budget,0.0006811650237068534,stage033-exact-deadline-v1,2016,33,0.4018739169841865,5245,0.05743564685690217,203389,0.001537706979434006,120.0,16
